v1,v2
ham,Hey how are you?
spam,Win a free iPhone now click here
ham,Are we meeting today?
spam,Congratulations you won a lottery claim now
ham,Call me when you reach home
spam,Exclusive offer buy one get one free
ham,Let's go for dinner tonight
spam,You have been selected for a cash prize
ham,Send me the notes please
spam,Act now to claim your reward
ham,Good morning have a nice day
spam,Limited time offer hurry up
ham,See you at office tomorrow
spam,Free entry in weekly competition text WIN
ham,Can you help me with homework?
spam,Get cheap loans instantly apply now
ham,I will call you later
spam,Your account is suspended verify now
ham,Happy birthday dear friend
spam,You won 5000 dollars click to claim
ham,Let's watch a movie tonight
spam,Claim your free vacation tickets
ham,Please share the document
spam,Hot deals available shop now
ham,Meeting is postponed to 3pm
spam,You are selected for free gift card
ham,Thanks for your support
spam,Click link to get cashback offer
ham,Are you coming to party?
spam,Lowest price guaranteed buy today
ham,Please update me
spam,Win big prizes register now
ham,See you soon
spam,Get free recharge now
ham,Let's study together
spam,Exclusive discount just for you
ham,Can we reschedule meeting?
spam,Claim bonus before it expires
ham,Thank you so much
spam,You have won jackpot reply YES
ham,Where are you now?
spam,Free membership activate today
ham,I will be late today
spam,Cheap meds available order now
ham,Please send details
spam,Limited stock buy immediately
ham,How was your day?
spam,Win cash instantly participate now
ham,Let's plan trip
spam,Special promotion click now
ham,Good night take care
spam,Your number won lucky draw
ham,Call me asap
spam,Free ringtone download now
ham,Happy anniversary
spam,Claim free Amazon voucher
ham,Please check email
spam,Double your income work from home
ham,See you tomorrow
spam,Lowest EMI offer apply now
ham,Let's catch up soon
spam,Get reward points instantly
ham,How is everything?
spam,Win free shopping coupon
ham,I miss you
spam,Act fast limited seats available
ham,Are you free today?
spam,Get instant approval apply today
ham,Send me address
spam,Free trial available sign up now
ham,Have a great weekend
spam,You won surprise gift claim today
ham,Please reply soon
spam,Get cashback on every purchase
ham,Let me know
spam,Hot sale ends tonight
ham,Good luck for exam
spam,Free entry claim bonus
ham,Talk to you later
spam,Exclusive invite click here
ham,Drive safe
spam,Win luxury car participate now
ham,Please confirm
spam,Free spin and win today
ham,Thanks again
spam,Claim your reward immediately
ham,Are you okay?
spam,Lowest interest loan apply now
ham,See you later
spam,Get free Netflix subscription
ham,Call me tonight
spam,Win shopping spree now
ham,Let's meet weekend
spam,Free gift waiting for you
ham,Did you finish work?
spam,Limited offer shop today
ham,Please send report
spam,You are lucky winner claim now
ham,Good afternoon
spam,Get instant cashback click now
ham,Happy holidays
spam,Free coupon code use now
ham,Are you coming?
spam,Win free ticket register today
ham,Please call back
spam,Claim prize before midnight
ham,See you at school
spam,Special deal buy now
ham,Thank you for help
spam,You won big cash respond now
ham,Let's go shopping
spam,Free recharge click here
ham,Where is the file?
spam,Exclusive mega sale today
ham,How is your health?
spam,Get bonus instantly join now
ham,See you at gym
spam,Free movie tickets claim now
ham,Let's talk later
spam,Win gold coins today
ham,Good evening
spam,Limited deal activate now
ham,Please update status
spam,Free shopping voucher grab now
ham,Are you busy?
spam,Claim free holiday package
ham,Call me tomorrow
spam,You won lucky prize click now
ham,Have a safe trip
spam,Hot discount available buy now
ham,Send location please
spam,Free access upgrade today
ham,See you at meeting
spam,Win cash reward instantly
ham,Please take care
spam,Claim bonus cash now
ham,Let's start project
spam,Exclusive prize waiting for you
ham,Are you fine?
spam,Free subscription activate today
ham,See you next week
spam,Win big now click here
ham,Please inform me
spam,Special cashback offer today
ham,Let's finish task
spam,Free lucky draw entry now
ham,Call me when free
spam,Claim your jackpot immediately
